"100bp_paired" "50bp_paired" "100bp_single" "50bp_single"
"67" "BnaA09g00880D" "BnaAnng23410D" "BnaCnng33970D" "BnaCnng03720D"
"68" "BnaC08g44700D" "BnaC09g00040D" "BnaCnng33800D" "BnaA09g01630D"
"69" "BnaC03g03400D" "BnaA06g03330D" "BnaC02g06060D" "BnaC08g43810D"
"70" "BnaAnng29400D" "BnaC04g00920D" "BnaC09g00050D" "BnaA02g08060D"
"71" "BnaCnng03200D" "BnaA09g01200D" "BnaC03g71330D" "BnaAnng11350D"
"72" "BnaC09g03380D" "BnaC08g44590D" "BnaUnng02770D" "BnaC02g06060D"
"73" "BnaC02g42580D" "BnaC04g17080D" "BnaC02g02440D" "BnaUnng02770D"
"74" "BnaC02g01020D" "BnaA09g00800D" "BnaC05g46160D" "BnaA10g27420D"
"75" "BnaA06g03330D" "BnaA02g27900D" "BnaC03g01640D" "BnaC02g04850D"
"76" "BnaC03g01640D" "BnaC09g00050D" "BnaCnng02680D" "BnaC07g15150D"
"77" "BnaC02g05900D" "BnaCnng01150D" "BnaC03g03630D" "BnaCnng19100D"
"78" "BnaA09g00950D" "BnaC03g03400D" "BnaC04g17110D" "BnaA09g00840D"
"79" "BnaA09g01380D" "BnaC01g38650D" "BnaA02g27900D" "BnaC01g38270D"
"80" "BnaC03g28370D" "BnaCnng10200D" "BnaA10g23520D" "BnaC04g17110D"
"81" "BnaA02g08060D" "BnaC01g22800D" "BnaA09g01080D" "BnaC03g07200D"
"82" "BnaC04g17130D" "BnaA10g23520D" "BnaC04g00920D" "BnaC02g42580D"
"83" "BnaC03g07200D" "BnaC08g45610D" "BnaCnng29070D" "BnaA09g01380D"
"84" "BnaA09g00910D" "BnaA09g00890D" "BnaCnng19130D" "BnaC04g50590D"
"85" "BnaC03g05220D" "BnaAnng29400D" "BnaC07g15150D" "BnaA09g00900D"
"86" "BnaCnng05940D" "BnaA09g00880D" "BnaA05g11340D" "BnaA09g01470D"
"87" "BnaC02g02570D" "BnaC02g06320D" "BnaA09g00800D" "BnaC09g00040D"
"88" "BnaA09g00900D" "BnaC08g44800D" "BnaA10g27200D" "BnaC02g05000D"
"89" "BnaUnng02770D" "BnaCnng23020D" "BnaC02g06320D" "BnaA05g11340D"
"90" "BnaA09g00830D" "BnaA05g11340D" "BnaC08g44800D" "BnaA09g00770D"
"91" "BnaC08g44590D" "BnaCnng19100D" "BnaC04g17080D" "BnaC09g24280D"
"92" "BnaCnng02900D" "BnaC06g20990D" "BnaC09g24280D" "BnaC06g31560D"
"93" "BnaC02g17030D" "BnaCnng03720D" "BnaCnng19100D" "BnaC02g02830D"
"94" "BnaA06g09750D" "BnaA09g01380D" "BnaC09g00040D" "BnaCnng02680D"
"95" "BnaA08g09570D" "BnaA09g00900D" "BnaA09g00770D" "BnaA09g00830D"
"96" "BnaC04g35900D" "BnaA09g01640D" "BnaC04g50590D" "BnaAnng29400D"
"97" "BnaA02g27900D" "BnaCnng19130D" "BnaC08g04100D" "BnaC09g01740D"
"98" "BnaC04g17080D" "BnaA10g27200D" "BnaA06g03330D" "BnaC02g03070D"
"99" "BnaC09g02700D" "BnaC03g07200D" "BnaA09g00900D" "BnaC03g28370D"
"100" "BnaC03g03130D" "BnaC02g01020D" "BnaC06g20990D" "BnaAnng23410D"
"101" "BnaA10g27200D" "BnaC01g38270D" "BnaA04g06860D" "BnaA09g00880D"
"102" "BnaA09g01200D" "BnaC04g17110D" "BnaCnng19150D" "BnaA09g01250D"
"103" "BnaA09g00800D" "BnaA02g08060D" "BnaA10g27420D" "BnaA04g06860D"
"104" "BnaC03g03000D" "BnaA09g00840D" "BnaC01g22800D" "BnaC08g44800D"
"105" "BnaCnng03080D" "BnaA10g27180D" "BnaA09g00880D" "BnaC09g03500D"
"106" "BnaC02g00100D" "BnaCnng02820D" "BnaCnng03720D" "BnaC08g44440D"
"107" "BnaC02g05020D" "BnaC07g15150D" "BnaA02g08060D" "BnaC03g71330D"
"108" "BnaCnng10200D" "BnaC03g01640D" "BnaA09g01380D" "BnaA02g27900D"
"109" "BnaC01g18730D" "BnaA09g52160D" "BnaA09g01630D" "BnaC05g46160D"
