"100bp_paired" "50bp_paired" "100bp_single" "50bp_single"
"1166" "BnaC06g18100D" "BnaA10g27290D" "BnaC06g16950D" "BnaCnng54350D"
"1167" "BnaC08g45710D" "BnaA06g16690D" "BnaC06g40510D" "BnaC08g04130D"
"1168" "BnaC02g01480D" "BnaCnng37090D" "BnaC02g03550D" "BnaC09g50580D"
"1169" "BnaC05g48550D" "BnaA09g40810D" "BnaUnng02750D" "BnaA08g00040D"
"1170" "BnaC02g02500D" "BnaCnng18990D" "BnaCnng22500D" "BnaCnng25120D"
"1171" "BnaC02g02440D" "BnaA06g21400D" "BnaCnng20090D" "BnaA05g11710D"
"1172" "BnaC09g50740D" "BnaC03g07880D" "BnaC08g43830D" "BnaA09g20840D"
"1173" "BnaA08g08580D" "BnaA08g22390D" "BnaCnng10440D" "BnaC03g01740D"
"1174" "BnaCnng70420D" "BnaC03g03770D" "BnaC02g42300D" "BnaA01g28500D"
"1175" "BnaC09g01730D" "BnaCnng33790D" "BnaUnng04680D" "BnaA06g24050D"
"1176" "BnaA03g53860D" "BnaC03g30400D" "BnaC03g03600D" "BnaC03g05050D"
"1177" "BnaC09g50360D" "BnaA02g02600D" "BnaA08g10020D" "BnaC03g01470D"
"1178" "BnaC04g38780D" "BnaCnng03670D" "BnaC09g02210D" "BnaC03g03600D"
"1179" "BnaC03g00940D" "BnaA09g01050D" "BnaA10g24140D" "BnaA06g37450D"
"1180" "BnaC02g05890D" "BnaC01g01550D" "BnaC03g00700D" "BnaCnng61360D"
"1181" "BnaC01g01550D" "BnaC03g03430D" "BnaUnng02470D" "BnaCnng10440D"
"1182" "BnaCnng33060D" "BnaC03g01140D" "BnaCnng03050D" "BnaA10g20710D"
"1183" "BnaC08g49560D" "BnaA06g32860D" "BnaC08g45010D" "BnaA08g26670D"
"1184" "BnaC03g00700D" "BnaC05g09180D" "BnaC02g01330D" "BnaCnng20610D"
"1185" "BnaC02g42010D" "BnaA10g04180D" "BnaAnng37180D" "BnaC09g48780D"
"1186" "BnaA04g00260D" "BnaA06g35250D" "BnaC03g29980D" "BnaC03g64220D"
"1187" "BnaA06g37450D" "BnaC02g05350D" "BnaA10g27290D" "BnaC01g23560D"
"1188" "BnaA08g13580D" "BnaC03g69480D" "BnaCnng55010D" "BnaA07g34940D"
"1189" "BnaA10g04180D" "BnaA08g02930D" "BnaC03g52330D" "BnaA09g06330D"
"1190" "BnaCnng37090D" "BnaA03g55150D" "BnaC03g01930D" "BnaA10g17180D"
"1191" "BnaC03g30340D" "BnaC02g06890D" "BnaA02g02600D" "BnaA10g27290D"
"1192" "BnaC04g45940D" "BnaC02g00110D" "BnaA08g22390D" "BnaC01g19200D"
"1193" "BnaC02g26290D" "BnaC03g69230D" "BnaC04g21920D" "BnaA09g06080D"
"1194" "BnaA08g29270D" "BnaA01g37280D" "BnaC09g38550D" "BnaCnng10290D"
"1195" "BnaC02g34270D" "BnaC09g02460D" "BnaA09g03960D" "BnaC03g03330D"
"1196" "BnaA08g11240D" "BnaCnng43900D" "BnaAnng08710D" "BnaA05g11610D"
"1197" "BnaC03g05140D" "BnaCnng33810D" "BnaA05g11710D" "BnaC04g14160D"
"1198" "BnaA09g05110D" "BnaC03g03320D" "BnaA03g54350D" "BnaC04g56440D"
"1199" "BnaA09g02240D" "BnaC03g00850D" "BnaA09g27970D" "BnaA06g00010D"
"1200" "BnaC02g03090D" "BnaC02g06990D" "BnaA03g01850D" "BnaC09g38450D"
"1201" "BnaC03g04940D" "BnaC03g01490D" "BnaC09g41220D" "BnaA08g01870D"
"1202" "BnaC06g13710D" "BnaC04g44570D" "BnaC09g02560D" "BnaC03g03520D"
"1203" "BnaC07g37200D" "BnaA09g22890D" "BnaA07g09600D" "BnaC09g01670D"
"1204" "BnaC04g14160D" "BnaA05g29210D" "BnaC02g01470D" "BnaC02g05770D"
"1205" "BnaC03g28420D" "BnaC05g00380D" "BnaC08g50070D" "BnaA10g26980D"
"1206" "BnaC08g44570D" "BnaC03g00770D" "BnaA03g05120D" "BnaA02g29970D"
"1207" "BnaC06g31620D" "BnaC09g50430D" "BnaC09g02030D" "BnaC02g42870D"
"1208" "BnaC04g44570D" "BnaC06g41270D" "BnaC03g30340D" "BnaA04g17580D"
"1209" "BnaA07g04820D" "BnaA04g00260D" "BnaC05g48590D" "BnaA10g26810D"
"1210" "BnaC02g00060D" "BnaC02g01860D" "BnaC08g44830D" "BnaC01g38710D"
"1211" "BnaC03g02430D" "BnaA09g01480D" "BnaC09g48770D" "BnaC08g00960D"
"1212" "BnaC03g05120D" "BnaC02g07460D" "BnaA02g29970D" "BnaA10g16910D"
"1213" "BnaC03g04510D" "BnaA10g11270D" "BnaC03g01390D" "BnaAnng20790D"
"1214" "BnaA05g29210D" "BnaCnng69960D" "BnaAnng12480D" "BnaC09g02830D"
"1215" "BnaA05g03070D" "BnaA09g52830D" "BnaC05g48820D" "BnaC02g07460D"
"1216" "BnaA09g20840D" "BnaC02g29680D" "BnaA03g04040D" "BnaC02g00050D"
"1217" "BnaC09g50300D" "BnaCnng03050D" "BnaA06g26510D" "BnaAnng02420D"
"1218" "BnaA10g16910D" "BnaCnng41830D" "BnaA10g04180D" "BnaC02g26930D"
"1219" "BnaC03g13350D" "BnaC05g48590D" "BnaC09g03160D" "BnaA09g27970D"
"1220" "BnaC02g00050D" "BnaC06g15030D" "BnaC09g00130D" "BnaC04g45940D"
"1221" "BnaCnng65610D" "BnaA09g49280D" "BnaCnng43900D" "BnaC07g33370D"
"1222" "BnaC03g05630D" "BnaC09g03000D" "BnaC02g01280D" "BnaC03g01150D"
"1223" "BnaC02g02430D" "BnaA01g29740D" "BnaA02g02540D" "BnaA07g24260D"
"1224" "BnaC02g18200D" "BnaA06g14210D" "BnaA10g11030D" "BnaA05g33440D"
"1225" "BnaC03g07190D" "BnaC03g72530D" "BnaA03g48310D" "BnaA10g27510D"
"1226" "BnaA09g43800D" "BnaC08g45730D" "BnaA08g29910D" "BnaA10g07010D"
"1227" "BnaC06g14440D" "BnaC09g50620D" "BnaC03g69230D" "BnaA06g32860D"
"1228" "BnaA02g25420D" "BnaC02g42650D" "BnaC02g42010D" "BnaC03g15140D"
"1229" "BnaC04g56050D" "BnaA06g32560D" "BnaCnng02660D" "BnaC08g46120D"
"1230" "BnaA09g03900D" "BnaC03g00820D" "BnaC04g14160D" "BnaA09g52220D"
"1231" "BnaC02g48780D" "BnaC02g02340D" "BnaA04g18200D" "BnaC09g50170D"
"1232" "BnaC05g22260D" "BnaC05g48770D" "BnaC02g05590D" "BnaC02g03270D"
"1233" "BnaA02g31600D" "BnaC03g11940D" "BnaC06g41270D" "BnaC03g09500D"
"1234" "BnaAnng19350D" "BnaCnng25210D" "BnaC02g02340D" "BnaA09g25860D"
"1235" "BnaA07g15930D" "BnaC09g37800D" "BnaC02g37460D" "BnaC07g40700D"
"1236" "BnaC03g01730D" "BnaC04g07730D" "BnaA07g01710D" "BnaC05g10850D"
"1237" "BnaA04g19500D" "BnaCnng59810D" "BnaA04g08640D" "BnaC03g00730D"
"1238" "BnaA01g27280D" "BnaC06g18100D" "BnaC02g02860D" "BnaC08g44830D"
"1239" "BnaC02g42020D" "BnaC05g48810D" "BnaC04g07730D" "BnaA04g08400D"
"1240" "BnaA01g32710D" "BnaA06g22310D" "BnaA06g16690D" "BnaC03g02690D"
"1241" "BnaC01g37770D" "BnaC02g06430D" "BnaA09g01480D" "BnaC02g41560D"
"1242" "BnaC02g02990D" "BnaC02g05590D" "BnaA05g07320D" "BnaC08g14970D"
"1243" "BnaC03g01250D" "BnaC09g03240D" "BnaC06g14890D" "BnaC08g21790D"
"1244" "BnaC03g01230D" "BnaA07g25960D" "BnaC06g18010D" "BnaC05g19540D"
"1245" "BnaA07g32730D" "BnaC02g07850D" "BnaC09g50700D" "BnaC02g02050D"
"1246" "BnaC03g64220D" "BnaCnng45310D" "BnaC01g36230D" "BnaA03g05120D"
"1247" "BnaC09g02040D" "BnaC02g05980D" "BnaA05g33420D" "BnaA06g19500D"
"1248" "BnaC09g48770D" "BnaCnng29080D" "BnaCnng20100D" "BnaA03g01850D"
"1249" "BnaA07g06900D" "BnaA06g37450D" "BnaC07g13580D" "BnaC02g03560D"
"1250" "BnaA05g33420D" "BnaC04g45940D" "BnaA09g28540D" "BnaC03g25620D"
"1251" "BnaCnng67890D" "BnaC09g50700D" "BnaC04g26420D" "BnaC08g50110D"
"1252" "BnaA02g05400D" "BnaC03g04510D" "BnaA06g22310D" "BnaC09g02100D"
"1253" "BnaC02g01730D" "BnaC07g13580D" "BnaCnng59810D" "BnaA09g01480D"
"1254" "BnaC04g17100D" "BnaC08g44830D" "BnaC02g02380D" "BnaCnng02670D"
"1255" "BnaC03g69480D" "BnaC02g01060D" "BnaC09g02330D" "BnaC04g22890D"
"1256" "BnaA03g16230D" "BnaA07g09080D" "BnaA03g02310D" "BnaA02g02080D"
"1257" "BnaC06g41200D" "BnaAnng05160D" "BnaA09g06330D" "BnaA03g59140D"
"1258" "BnaC03g03440D" "BnaC02g02230D" "BnaC08g43130D" "BnaA04g26100D"
"1259" "BnaA09g22890D" "BnaC09g00180D" "BnaC02g45840D" "BnaA03g00520D"
"1260" "BnaUnng01310D" "BnaA05g03070D" "BnaA03g00480D" "BnaCnng48990D"
"1261" "BnaC03g05390D" "BnaC02g06160D" "BnaC04g38730D" "BnaCnng64260D"
"1262" "BnaC03g70790D" "BnaC04g17100D" "BnaA06g14980D" "BnaC09g02560D"
"1263" "BnaC09g48780D" "BnaC03g50410D" "BnaA09g43800D" "BnaA04g09710D"
"1264" "BnaC02g05980D" "BnaC02g02050D" "BnaA07g11480D" "BnaAnng02510D"
"1265" "BnaC06g43010D" "BnaC09g08640D" "BnaC03g01470D" "BnaA10g27380D"
"1266" "BnaA09g06330D" "BnaA05g11610D" "BnaC09g38420D" "BnaC09g02030D"
"1267" "BnaAnng08710D" "BnaC02g03050D" "BnaC09g50360D" "BnaA05g07320D"
"1268" "BnaA02g02400D" "BnaA03g03080D" "BnaC02g04870D" "BnaA09g29500D"
"1269" "BnaA08g00040D" "BnaA03g53860D" "BnaA06g32560D" "BnaC03g00830D"
"1270" "BnaCnng50320D" "BnaC07g09600D" "BnaA04g11770D" "BnaA08g02930D"
"1271" "BnaC09g38550D" "BnaA07g07960D" "BnaCnng64260D" "BnaC03g02350D"
"1272" "BnaA04g09780D" "BnaC02g06190D" "BnaC04g17100D" "BnaCnng50320D"
"1273" "BnaCnng41690D" "BnaCnng20610D" "BnaC09g03250D" "BnaC02g39100D"
"1274" "BnaC06g16980D" "BnaA03g53920D" "BnaA02g08140D" "BnaC03g02880D"
"1275" "BnaAnng27100D" "BnaC03g00730D" "BnaC03g00730D" "BnaC02g06190D"
"1276" "BnaC09g44720D" "BnaCnng02800D" "BnaA09g01210D" "BnaA06g27630D"
"1277" "BnaC02g37440D" "BnaC05g03390D" "BnaC09g24760D" "BnaCnng76110D"
"1278" "BnaA03g51910D" "BnaC09g41600D" "BnaC09g01830D" "BnaC02g48780D"
"1279" "BnaC02g42870D" "BnaA04g14470D" "BnaC02g07460D" "BnaA04g10690D"
"1280" "BnaC02g01860D" "BnaC02g07470D" "BnaC01g36110D" "BnaAnng21640D"
"1281" "BnaA05g03270D" "BnaC02g01630D" "BnaC03g03530D" "BnaC08g18340D"
"1282" "BnaA10g15480D" "BnaC03g03240D" "BnaA06g35250D" "BnaCnng49000D"
"1283" "BnaA07g37270D" "BnaC09g03160D" "BnaC02g44120D" "BnaC07g07750D"
"1284" "BnaC01g33120D" "BnaA10g15640D" "BnaC02g06250D" "BnaC02g00800D"
"1285" "BnaC03g41820D" "BnaA08g10020D" "BnaC02g42020D" "BnaA04g24590D"
"1286" "BnaC04g37820D" "BnaCnng10360D" "BnaC05g10850D" "BnaC09g01830D"
"1287" "BnaA01g31250D" "BnaC01g37770D" "BnaA09g05110D" "BnaC03g05060D"
"1288" "BnaA04g14470D" "BnaA08g29910D" "BnaC03g65620D" "BnaC03g09230D"
"1289" "BnaC08g43980D" "BnaA09g01690D" "BnaC07g09600D" "BnaCnng03530D"
"1290" "BnaC02g41870D" "BnaA08g00050D" "BnaC09g02080D" "BnaA03g05300D"
"1291" "BnaC02g13510D" "BnaA08g13580D" "BnaA09g02240D" "BnaA06g06290D"
"1292" "BnaA06g14920D" "BnaA08g06790D" "BnaC04g36080D" "BnaA10g17430D"
"1293" "BnaC02g45830D" "BnaC06g19300D" "BnaA01g18800D" "BnaC03g50410D"
"1294" "BnaC03g39550D" "BnaC08g40390D" "BnaC04g37830D" "BnaC03g05320D"
"1295" "BnaC03g72530D" "BnaA08g09560D" "BnaC02g05950D" "BnaC06g42550D"
"1296" "BnaC01g03800D" "BnaA06g38270D" "BnaC02g00070D" "BnaA02g08140D"
"1297" "BnaA07g13070D" "BnaC03g04600D" "BnaC04g56050D" "BnaA10g08190D"
"1298" "BnaC01g38940D" "BnaC03g52330D" "BnaC09g09350D" "BnaAnng36470D"
"1299" "BnaA06g34210D" "BnaA04g13830D" "BnaCnng03270D" "BnaA09g50090D"
"1300" "BnaA02g13400D" "BnaC02g05450D" "BnaA09g20840D" "BnaC02g06970D"
"1301" "BnaA07g18660D" "BnaC01g36230D" "BnaC04g08490D" "BnaC02g00140D"
"1302" "BnaA10g14980D" "BnaA07g24320D" "BnaC08g49560D" "BnaA01g02460D"
"1303" "BnaC02g02090D" "BnaC04g56440D" "BnaC06g18100D" "BnaC04g02060D"
"1304" "BnaCnng31950D" "BnaCnng34930D" "BnaC03g04510D" "BnaA01g18750D"
"1305" "BnaA03g00260D" "BnaC02g01100D" "BnaC02g45830D" "BnaA05g33360D"
"1306" "BnaA07g10620D" "BnaA07g09210D" "BnaC06g42600D" "BnaC09g41690D"
"1307" "BnaC02g42650D" "BnaC09g01730D" "BnaA03g53920D" "BnaCnng33810D"
"1308" "BnaC03g46060D" "BnaC04g08490D" "BnaC09g03110D" "BnaA01g30780D"
"1309" "BnaA06g26510D" "BnaA02g08550D" "BnaA01g22110D" "BnaA07g01920D"
"1310" "BnaC02g06190D" "BnaAnng32590D" "BnaA08g08580D" "BnaA08g09110D"
"1311" "BnaA03g59050D" "BnaA06g14980D" "BnaA07g25960D" "BnaC02g06350D"
"1312" "BnaAnng19160D" "BnaC09g50170D" "BnaAnng40850D" "BnaA01g24480D"
"1313" "BnaA08g01570D" "BnaC09g03910D" "BnaC08g44160D" "BnaA01g22110D"
"1314" "BnaA04g11980D" "BnaA09g03900D" "BnaA02g05400D" "BnaC07g44910D"
"1315" "BnaC03g05100D" "BnaAnng20790D" "BnaC02g07610D" "BnaC02g15920D"
"1316" "BnaCnng03270D" "BnaC05g48460D" "BnaC04g02270D" "BnaA03g25830D"
"1317" "BnaA07g24260D" "BnaC06g42600D" "BnaA01g27280D" "BnaA09g03790D"
"1318" "BnaA07g20480D" "BnaC03g73950D" "BnaA09g00500D" "BnaC09g24760D"
"1319" "BnaA03g05120D" "BnaC03g05230D" "BnaCnng10140D" "BnaCnng19480D"
"1320" "BnaC02g03440D" "BnaA07g23190D" "BnaC02g06430D" "BnaCnng03580D"
"1321" "BnaCnng60380D" "BnaC01g33120D" "BnaA08g13580D" "BnaCnng02880D"
"1322" "BnaC03g04820D" "BnaA07g18820D" "BnaA09g01550D" "BnaA10g16720D"
"1323" "BnaC06g42600D" "BnaA01g22110D" "BnaC02g00050D" "BnaA09g38200D"
"1324" "BnaC04g02840D" "BnaA07g32830D" "BnaC09g08640D" "BnaC01g12520D"
"1325" "BnaC02g04950D" "BnaA02g31600D" "BnaC06g40420D" "BnaC07g42400D"
"1326" "BnaC04g45950D" "BnaC02g37440D" "BnaC03g05230D" "BnaA06g09650D"
"1327" "BnaA10g09080D" "BnaC05g25980D" "BnaA01g26490D" "BnaC03g13060D"
"1328" "BnaC03g00890D" "BnaC03g00940D" "BnaA04g10460D" "BnaA03g05420D"
"1329" "BnaC03g36000D" "BnaC02g42900D" "BnaC09g38430D" "BnaA05g26180D"
"1330" "BnaC02g07460D" "BnaCnng29060D" "BnaA08g06790D" "BnaC01g40190D"
"1331" "BnaAnng08680D" "BnaA07g10620D" "BnaA07g20680D" "BnaC03g07190D"
"1332" "BnaC08g43830D" "BnaC06g40330D" "BnaC07g10140D" "BnaCnng33060D"
"1333" "BnaA10g11030D" "BnaC05g48510D" "BnaC04g36330D" "BnaA01g12230D"
"1334" "BnaC03g02510D" "BnaC02g00050D" "BnaC09g41600D" "BnaC07g14720D"
"1335" "BnaA03g25620D" "BnaC09g02100D" "BnaC04g46160D" "BnaC03g09780D"
"1336" "BnaC03g02350D" "BnaC04g35720D" "BnaC06g14940D" "BnaC07g37200D"
"1337" "BnaC05g19550D" "BnaC07g10140D" "BnaA02g03500D" "BnaC03g45880D"
"1338" "BnaCnng55010D" "BnaA09g01330D" "BnaA07g10620D" "BnaC09g03300D"
"1339" "BnaC06g40590D" "BnaC02g06350D" "BnaA05g29210D" "BnaCnng03480D"
"1340" "BnaC02g01650D" "BnaC01g44340D" "BnaA10g27190D" "BnaA07g16640D"
"1341" "BnaA08g09560D" "BnaC03g03500D" "BnaC03g01110D" "BnaC03g05100D"
"1342" "BnaAnng36880D" "BnaC02g05950D" "BnaC04g38780D" "BnaC04g46160D"
"1343" "BnaC05g25980D" "BnaC09g48780D" "BnaC03g01140D" "BnaA06g16080D"
"1344" "BnaC03g04520D" "BnaA03g04040D" "BnaC03g03240D" "BnaC04g38780D"
"1345" "BnaC03g03330D" "BnaC04g14160D" "BnaC03g28420D" "BnaA03g15930D"
"1346" "BnaC02g22480D" "BnaC02g01280D" "BnaC01g33120D" "BnaC08g38870D"
"1347" "BnaC07g40700D" "BnaA01g28500D" "BnaC09g03910D" "BnaA09g50700D"
"1348" "BnaA07g01920D" "BnaC02g03440D" "BnaA06g24050D" "BnaC02g48850D"
"1349" "BnaCnng10890D" "BnaC03g01470D" "BnaCnng02800D" "BnaA03g20660D"
"1350" "BnaC02g00480D" "BnaC03g07190D" "BnaC09g01670D" "BnaCnng10360D"
"1351" "BnaC02g00040D" "BnaC04g02270D" "BnaC04g17850D" "BnaA03g00040D"
"1352" "BnaA10g09300D" "BnaC07g11630D" "BnaC07g44910D" "BnaC07g13580D"
"1353" "BnaC09g00060D" "BnaCnng10890D" "BnaA08g26670D" "BnaC09g50740D"
"1354" "BnaA05g34600D" "BnaA02g32660D" "BnaA09g01330D" "BnaC03g01110D"
"1355" "BnaC02g04870D" "BnaA03g15930D" "BnaC09g48780D" "BnaC02g37440D"
"1356" "BnaC03g50410D" "BnaC02g03190D" "BnaA08g23400D" "BnaC07g40350D"
"1357" "BnaA04g05750D" "BnaA04g08860D" "BnaAnng19210D" "BnaA07g33250D"
"1358" "BnaC02g07470D" "BnaCnng71620D" "BnaC02g01630D" "BnaA10g21580D"
"1359" "BnaC02g01060D" "BnaAnng23390D" "BnaC06g28980D" "BnaCnng29130D"
"1360" "BnaCnng02720D" "BnaA06g34210D" "BnaCnng19480D" "BnaAnng05160D"
"1361" "BnaCnng61360D" "BnaC04g28010D" "BnaCnng30870D" "BnaA03g11140D"
"1362" "BnaA06g00070D" "BnaC05g10850D" "BnaA04g24590D" "BnaC02g41600D"
"1363" "BnaA01g22110D" "BnaA07g15930D" "BnaA06g19500D" "BnaC05g47680D"
"1364" "BnaA06g20750D" "BnaC04g17850D" "BnaC04g45940D" "BnaCnng31950D"
"1365" "BnaA01g01550D" "BnaA03g41380D" "BnaA09g56130D" "BnaA02g08950D"
"1366" "BnaC08g43840D" "BnaA01g26490D" "BnaC02g07290D" "BnaC02g01900D"
"1367" "BnaC09g38430D" "BnaA06g21280D" "BnaC02g37440D" "BnaC02g06410D"
"1368" "BnaC08g44290D" "BnaC06g29510D" "BnaCnng02740D" "BnaC03g27200D"
"1369" "BnaC02g01620D" "BnaC08g43610D" "BnaC03g50410D" "BnaA09g50530D"
"1370" "BnaC02g37000D" "BnaA10g15480D" "BnaA09g49260D" "BnaA04g13830D"
"1371" "BnaA02g09170D" "BnaAnng19350D" "BnaAnng19160D" "BnaA10g27440D"
"1372" "BnaA04g12070D" "BnaC06g42250D" "BnaC04g45950D" "BnaC02g13510D"
"1373" "BnaC01g36110D" "BnaC09g02040D" "BnaA01g18750D" "BnaA02g05400D"
"1374" "BnaA01g18750D" "BnaCnng60380D" "BnaCnng20610D" "BnaC03g01570D"
"1375" "BnaA01g31240D" "BnaC02g03410D" "BnaA10g09300D" "BnaA03g56270D"
"1376" "BnaA09g29340D" "BnaCnng67890D" "BnaC02g42870D" "BnaA03g50720D"
"1377" "BnaC07g42400D" "BnaC05g48780D" "BnaAnng05160D" "BnaC02g22830D"
"1378" "BnaC02g13470D" "BnaCnng50320D" "BnaC07g40700D" "BnaC03g00960D"
"1379" "BnaA04g21520D" "BnaC02g08560D" "BnaA08g11240D" "BnaC06g26630D"
"1380" "BnaA05g19450D" "BnaC02g44170D" "BnaC02g02260D" "BnaC08g44780D"
"1381" "BnaC09g03280D" "BnaC09g03010D" "BnaAnng25960D" "BnaC02g06160D"
"1382" "BnaA08g00050D" "BnaA02g25420D" "BnaA09g22890D" "BnaAnng34660D"
"1383" "BnaC09g03250D" "BnaA09g05110D" "BnaC02g03440D" "BnaC02g01950D"
"1384" "BnaCnng23260D" "BnaC03g68960D" "BnaA02g19190D" "BnaA08g13040D"
"1385" "BnaA07g20680D" "BnaC02g06950D" "BnaA05g02120D" "BnaC03g32910D"
"1386" "BnaC02g00370D" "BnaC02g00800D" "BnaCnng41830D" "BnaC07g35930D"
"1387" "BnaA09g25860D" "BnaA04g24590D" "BnaA09g03900D" "BnaC07g24370D"
"1388" "BnaC02g07380D" "BnaC09g38430D" "BnaA07g18820D" "BnaC09g02730D"
"1389" "BnaA03g25760D" "BnaC03g03440D" "BnaA10g20710D" "BnaA10g27240D"
"1390" "BnaC02g37620D" "BnaA09g20840D" "BnaC02g18200D" "BnaCnng67890D"
"1391" "BnaA10g20710D" "BnaC03g64220D" "BnaA07g23190D" "BnaA01g08560D"
"1392" "BnaC04g02270D" "BnaA10g09080D" "BnaAnng34360D" "BnaC05g48750D"
"1393" "BnaA10g25240D" "BnaA07g24260D" "BnaC03g02750D" "BnaA03g28850D"
"1394" "BnaC03g04970D" "BnaA01g02460D" "BnaC09g03030D" "BnaC03g00770D"
"1395" "BnaC04g08490D" "BnaA09g01550D" "BnaC02g29680D" "BnaC06g14890D"
"1396" "BnaC02g22830D" "BnaA04g21520D" "BnaC03g00960D" "BnaA03g04400D"
"1397" "BnaC03g76830D" "BnaC09g03210D" "BnaC09g50420D" "BnaA09g43800D"
"1398" "BnaC02g11360D" "BnaC09g39740D" "BnaA06g20750D" "BnaC02g00380D"
"1399" "BnaA10g27580D" "BnaC04g38780D" "BnaA09g23930D" "BnaC04g12020D"
"1400" "BnaC09g03210D" "BnaC03g41820D" "BnaC03g72530D" "BnaC09g00210D"
"1401" "BnaA02g32040D" "BnaC03g05140D" "BnaA07g33060D" "BnaC02g07380D"
"1402" "BnaC02g02110D" "BnaCnng20150D" "BnaA06g25790D" "BnaC09g03110D"
"1403" "BnaC06g28980D" "BnaA10g27510D" "BnaC07g40350D" "BnaA01g23640D"
"1404" "BnaCnng56050D" "BnaC04g37830D" "BnaA03g55780D" "BnaC02g42050D"
"1405" "BnaA02g32660D" "BnaC03g03880D" "BnaC03g64220D" "BnaC03g76830D"
"1406" "BnaA05g11610D" "BnaC02g42120D" "BnaC06g21000D" "BnaC06g35330D"
"1407" "BnaC03g29830D" "BnaCnng02670D" "BnaCnng05910D" "BnaA08g00050D"
"1408" "BnaC02g42030D" "BnaC02g03270D" "BnaA05g11610D" "BnaC03g03440D"
"1409" "BnaC02g29680D" "BnaC02g00220D" "BnaC07g14720D" "BnaA10g27660D"
"1410" "BnaCnng03310D" "BnaA10g27190D" "BnaC09g50300D" "BnaA05g29210D"
"1411" "BnaA09g29500D" "BnaA09g00500D" "BnaC03g05630D" "BnaCnng37090D"
"1412" "BnaC04g12010D" "BnaC03g00570D" "BnaC03g07190D" "BnaAnng37180D"
"1413" "BnaCnng20610D" "BnaC02g45830D" "BnaA09g00750D" "BnaC05g25980D"
"1414" "BnaC03g73950D" "BnaC02g01470D" "BnaC08g41430D" "BnaC03g00700D"
"1415" "BnaC05g48700D" "BnaC02g01890D" "BnaCnng71620D" "BnaC02g04970D"
"1416" "BnaC08g42750D" "BnaC03g02290D" "BnaC08g13970D" "BnaC04g02270D"
"1417" "BnaC09g01660D" "BnaC08g43540D" "BnaAnng40820D" "BnaCnng05610D"
"1418" "BnaC04g37270D" "BnaA08g00040D" "BnaC02g00150D" "BnaCnng70820D"
"1419" "BnaC05g00380D" "BnaA09g00750D" "BnaC09g02100D" "BnaC03g02340D"
"1420" "BnaC08g18340D" "BnaC02g39100D" "BnaA09g38200D" "BnaCnng60380D"
"1421" "BnaC03g01620D" "BnaC03g05330D" "BnaCnng63830D" "BnaA02g04080D"
"1422" "BnaC05g48470D" "BnaA06g14920D" "BnaA07g32830D" "BnaAnng32590D"
"1423" "BnaC09g50420D" "BnaCnng33060D" "BnaC03g46060D" "BnaCnng10230D"
"1424" "BnaA02g08550D" "BnaA04g26100D" "BnaA02g13400D" "BnaC03g03720D"
"1425" "BnaCnng29130D" "BnaC09g01660D" "BnaC02g01880D" "BnaC07g33990D"
"1426" "BnaA04g18210D" "BnaC05g48790D" "BnaA06g29460D" "BnaA03g10340D"
"1427" "BnaA10g24140D" "BnaC05g25410D" "BnaA03g55000D" "BnaC03g46120D"
"1428" "BnaC03g01130D" "BnaC09g50270D" "BnaC01g37770D" "BnaC04g32510D"
"1429" "BnaCnng03260D" "BnaA01g31250D" "BnaA09g01150D" "BnaC08g44290D"
"1430" "BnaCnng03190D" "BnaA07g18660D" "BnaC02g06190D" "BnaCnng10370D"
"1431" "BnaA09g49280D" "BnaAnng23060D" "BnaA09g15250D" "BnaA06g12980D"
"1432" "BnaA08g06750D" "BnaA09g25860D" "BnaA01g29740D" "BnaC09g38460D"
"1433" "BnaA01g22130D" "BnaC03g02340D" "BnaCnng02670D" "BnaA09g09560D"
"1434" "BnaC02g22000D" "BnaC02g22480D" "BnaC03g73950D" "BnaC01g36140D"
"1435" "BnaA09g31710D" "BnaA08g27290D" "BnaC03g05100D" "BnaA09g00750D"
"1436" "BnaC03g01950D" "BnaC02g37640D" "BnaA07g04820D" "BnaC01g18110D"
"1437" "BnaA02g02540D" "BnaC02g13510D" "BnaC03g70360D" "BnaC05g25210D"
"1438" "BnaC03g66000D" "BnaC06g18010D" "BnaC07g42400D" "BnaC03g29830D"
"1439" "BnaC03g45880D" "BnaC03g12390D" "BnaA07g35410D" "BnaC02g42370D"
"1440" "BnaA03g00040D" "BnaCnng03260D" "BnaA03g41380D" "BnaCnng01120D"
"1441" "BnaC03g00670D" "BnaC01g12520D" "BnaA08g06750D" "BnaA03g48310D"
"1442" "BnaC04g06890D" "BnaC02g26290D" "BnaA04g18210D" "BnaCnng65610D"
"1443" "BnaC01g44010D" "BnaC03g63910D" "BnaA03g16230D" "BnaA07g01640D"
"1444" "BnaA03g60190D" "BnaC03g02350D" "BnaC03g45880D" "BnaC06g43820D"
"1445" "BnaC03g36580D" "BnaAnng36880D" "BnaCnng70420D" "BnaA06g16610D"
"1446" "BnaC02g01460D" "BnaC03g03750D" "BnaCnng60380D" "BnaC02g00070D"
"1447" "BnaA02g03500D" "BnaC03g01780D" "BnaC03g36000D" "BnaAnng06350D"
"1448" "BnaC02g08580D" "BnaC04g34190D" "BnaC06g42250D" "BnaC05g48410D"
"1449" "BnaC05g48640D" "BnaA09g15250D" "BnaC09g00070D" "BnaA09g01210D"
"1450" "BnaA08g27290D" "BnaC09g03110D" "BnaA04g26100D" "BnaA01g27040D"
