"","logFC","logCPM","LR","PValue","FDR"
"BnaA06g10170D",-7.67232480368884,4.21507964225748,182.310949702095,1.51657402559868e-41,1.81648496457207e-38
"BnaC02g02460D",-7.60733027912481,4.18176242800361,181.797375283521,1.96331914697723e-41,2.30045518919404e-38
"BnaC02g05940D",-11.1404977312055,5.22803111168094,179.06255935424,7.76433977670066e-41,8.90404573668913e-38
"BnaC08g44590D",-10.4347763852582,3.57754075207784,178.988214751001,8.0600447508298e-41,9.05059066718699e-38
"BnaCnng33800D",7.30643269727853,3.75808961303484,178.866138542915,8.57023056358969e-41,9.42707871728409e-38
"BnaC04g17130D",-9.3878865024776,5.27044504318266,178.564596897615,9.97318416767991e-41,1.05776609722526e-37
"BnaA10g23520D",-10.5849931720368,3.59981698901347,178.531448121346,1.01407921144417e-40,1.05776609722526e-37
"BnaA03g52350D",7.96042621255434,4.04890302330207,178.518897650473,1.02049828486082e-40,1.05776609722526e-37
"BnaA09g00890D",8.00805302638519,5.16786823986754,178.346919101872,1.11266379363807e-40,1.13153709081695e-37
"BnaA01g05240D",8.54639202300257,3.83883221770254,178.026336108257,1.30726634526022e-40,1.30482127302187e-37
"BnaC02g05110D",-7.24701464788845,4.07502557212186,177.91329306898,1.38371766202957e-40,1.35601815028603e-37
"BnaC09g50670D",7.63746003993648,3.66780069145077,177.671414873477,1.5626540882271e-40,1.50402665538129e-37
"BnaCnng05930D",6.24238487824643,6.09104425141266,176.839550461059,2.37414809973651e-40,2.24498611276663e-37
"BnaA09g00800D",10.7986831163429,3.85459135292132,175.292588243169,5.16788958904697e-40,4.80248415448349e-37
"BnaA09g01200D",7.27561502831557,4.48681620034965,174.475864807703,7.7922931926663e-40,7.11859001341561e-37
"BnaC02g02440D",-9.23502214724947,5.98772102700794,173.976178133434,1.00181309007655e-39,8.99945395700599e-37
"BnaC08g45610D",-7.66058683837756,3.56577375738389,173.878090592171,1.0524639611959e-39,9.29946804008159e-37
"BnaC09g00050D",-10.8716690021996,4.03707458049542,172.967124828739,1.66398264735645e-39,1.44656452757848e-36
"BnaCnng28710D",-9.30663781802989,4.89830579819965,172.476816815469,2.12925318134527e-39,1.82166059081474e-36
"BnaCnng33970D",-7.40001490711164,5.54187199153655,172.359844945708,2.25825551290902e-39,1.90183927953568e-36
"BnaC03g01640D",10.4358116425676,3.68601826855689,172.31814071899,2.30611516329261e-39,1.91226617209706e-36
"BnaA09g35140D",-10.206185776653,3.42051353215676,171.753258633041,3.06371615810644e-39,2.47535805331329e-36
"BnaCnng03720D",6.99676860685719,4.03940215817139,171.744634004702,3.07703277559863e-39,2.47535805331329e-36
"BnaA09g01630D",9.0332128267005,4.4146708885929,171.61035176613,3.29199422062029e-39,2.60934112495902e-36
"BnaC08g43810D",-10.2136401400229,3.25403054109688,171.368723443904,3.71732454319064e-39,2.90376921091931e-36
"BnaA02g08060D",8.56521081409264,3.79840556265717,170.6806248762,5.25427649453564e-39,4.04571783969966e-36
"BnaAnng11350D",8.34546686474729,3.51602016439183,170.651010090118,5.33311493348199e-39,4.04858537746121e-36
"BnaC02g06060D",-8.38598284578889,4.3388188206057,170.088839840895,7.07559569912727e-39,5.29677128593417e-36
