"","logFC","logCPM","LR","PValue","FDR"
"BnaA02g25430D",12.8495767278206,5.77443452407518,272.021932404209,4.11380661591001e-61,2.21730062790934e-56
"BnaC06g15630D",9.91822608720605,4.80885507354999,244.337266759958,4.45679089408252e-55,1.20108286200077e-50
"BnaC02g05610D",-9.87604659664303,5.15217991140829,233.433865529872,1.06291207767734e-52,1.90966326915769e-48
"BnaC04g06880D",9.24451528868621,5.81182518778197,228.455517851005,1.29471213537455e-51,1.74459223461382e-47
"BnaCnng41150D",10.8909122673284,4.35342367783175,220.269635612065,7.89894971336475e-50,8.51490981201293e-46
"BnaA09g20730D",9.84004810065655,5.42936832924108,219.388570331149,1.2295687522625e-49,1.10454210296994e-45
"BnaA09g00980D",8.30066448288008,5.2960368480997,218.21954399459,2.21183877883935e-49,1.70308426200946e-45
"BnaC02g05940D",-8.6606563253176,5.22803111168094,216.097320784674,6.42231205760236e-49,4.32695246990887e-45
"BnaA09g54870D",-10.1592196596158,8.17285023288054,215.227951741062,9.93893641559007e-49,5.95220815404321e-45
"BnaC03g00020D",8.93549447608448,6.66249569927853,214.066604259647,1.78109666087891e-48,9.59993289247125e-45
"BnaCnng64520D",-9.35973453051619,4.10426140955752,212.331312294752,4.25846012954652e-48,2.08660675020389e-44
"BnaA03g07990D",-9.90156013008497,5.33365315854854,208.348136375349,3.14964969231383e-47,1.41469140638353e-43
"BnaA03g30740D",-9.20227446651781,5.15091774720877,205.178990413585,1.54785572253789e-46,6.12238694868941e-43
"BnaC06g25080D",8.45672730763114,5.18679723490242,205.125196370463,1.59025988017685e-46,6.12238694868941e-43
"BnaA03g52350D",8.30149649159387,4.04890302330207,199.227658508282,3.07875896469574e-45,1.10628019625424e-41
"BnaA06g00040D",-7.96133692457287,5.0405900757579,198.030208679183,5.61946340647706e-45,1.89302161341067e-41
"BnaA01g05240D",10.4140751578627,3.83883221770254,196.621503599439,1.14058106227209e-44,3.61624580443549e-41
"BnaA08g16140D",-10.567760724216,4.05515969669628,195.877865167145,1.65737138426109e-44,4.87475267997703e-41
"BnaCnng40660D",8.36658951478229,4.34678080388712,195.805901800774,1.71840481121289e-44,4.87475267997703e-41
"BnaA06g12970D",9.29556467804691,4.22103544225433,195.345936904557,2.16526567820621e-44,5.83528273948181e-41
"BnaCnng33970D",-8.01900765398909,5.54187199153655,193.896241222621,4.486522964718e-44,1.14585495178363e-40
"BnaA09g52360D",-8.74279477200226,4.07512878110226,193.813486505392,4.67704575952054e-44,1.14585495178363e-40
"BnaC02g02460D",-8.18957656030917,4.18176242800361,192.912737507922,7.35475350168164e-44,1.72353851733539e-40
"BnaC09g39490D",-6.93915681430006,5.86464457714152,190.067332799519,3.07350384386075e-43,6.78262335468802e-40
"BnaCnng02680D",8.81930506007303,3.93015106136485,190.020955083762,3.1459875668788e-43,6.78262335468802e-40
"BnaCnng33800D",8.52523726130433,3.75808961303484,189.847844658152,3.43196883040207e-43,7.11460338422466e-40
"BnaA06g14090D",-8.11950872560528,3.91547617152513,186.177739403695,2.17115877051415e-42,4.33419579896083e-39
"BnaCnng10240D",7.82638380679751,3.79964320476667,185.752502529794,2.68857363113071e-42,5.15352503422767e-39
"BnaCnng19160D",-7.92017069314393,4.0050427343286,185.691121455011,2.77282001507639e-42,5.15352503422767e-39
