"","logFC","logCPM","LR","PValue","FDR"
"BnaA02g25430D",12.9099933050792,5.77443452407518,276.430278260076,4.50316537487295e-62,2.42716110540277e-57
"BnaC09g00170D",-8.68715071453077,5.32188599190828,246.679526337412,1.3751557825008e-55,3.70597607605053e-51
"BnaC02g05610D",-10.0234883727233,5.15217991140829,241.800204738256,1.59289270252262e-54,2.86184412577556e-50
"BnaC03g00020D",10.4694200769777,6.66249569927853,240.865821989684,2.54635571978925e-54,3.43115067352303e-50
"BnaC04g06880D",9.44800848510313,5.81182518778197,237.917083606848,1.11913469395539e-53,1.20640481739004e-49
"BnaC06g15630D",9.12204727527857,4.80885507354999,237.132580752463,1.65938161475243e-53,1.49065016089235e-49
"BnaC02g05940D",-10.3766743189439,5.22803111168094,234.964195208385,4.92927931422546e-53,3.79547465367769e-49
"BnaCnng19090D",-10.6608940900355,7.80867031672399,231.49516565726,2.81369087562484e-52,1.89568905631629e-48
"BnaA09g00980D",9.40521649717925,5.2960368480997,229.944218987858,6.13066378950023e-52,3.67151830655859e-48
"BnaC08g44890D",-9.01334072155112,4.74129376682208,229.169700519531,9.04520572372005e-52,4.87527543302787e-48
"BnaC09g00080D",-8.81593026452474,5.21154569994249,228.627066128897,1.18784666843418e-51,5.82034068926673e-48
"BnaC02g00100D",-11.0866698019573,4.34528596175727,224.13665975896,1.13268687855889e-50,5.08755750562046e-47
"BnaA06g00040D",-11.6584869145673,5.0405900757579,223.117129335809,1.8900766489149e-50,7.67887275348364e-47
"BnaC09g00020D",-10.5333906315218,5.60780808432256,223.010003807956,1.99454940812948e-50,7.67887275348364e-47
"BnaCnng41150D",9.28664943548591,4.35342367783175,221.915417135354,3.45613193821364e-50,1.24188036891851e-46
"BnaCnng05840D",8.44497751936215,6.59965992522072,221.060081826495,5.31074175233519e-50,1.78902293568196e-46
"BnaA03g07990D",-9.48986066766958,5.33365315854854,219.114258369562,1.41119867207234e-49,4.47424689564864e-46
"BnaC02g07710D",-10.9220924815282,4.29982145049644,218.820052362891,1.63592480128152e-49,4.89859504801514e-46
"BnaC02g05360D",-9.83085263453933,5.72439638519458,218.132755845652,2.31038778452882e-49,6.55408374727993e-46
"BnaC09g03380D",11.4554202602514,4.02867389864785,215.870731172188,7.19648560155297e-49,1.93941688719052e-45
"BnaA09g52360D",-10.7775654868823,4.07512878110226,214.904307917318,1.16934343223865e-48,3.00125912639197e-45
"BnaA09g54870D",-9.95346395404316,8.17285023288054,212.95343371728,3.11552451470033e-48,7.63289344626514e-45
"BnaCnng03040D",8.24647759104155,4.53780210742141,210.061552664427,1.33179312376884e-47,3.12097032947899e-44
"BnaC08g44700D",-7.32882667462021,4.70038140504906,209.947540306167,1.41029845626192e-47,3.16723652058589e-44
"BnaC04g17070D",-9.15928841324543,4.29903223445266,209.819944647446,1.50365726926046e-47,3.24182492623477e-44
"BnaC02g48850D",-8.47358689153164,4.69777955664888,209.625651228898,1.6578240488729e-47,3.43673301577694e-44
"BnaC03g00170D",7.526397084094,4.79861167013637,209.430360646448,1.82871383813839e-47,3.65058693191929e-44
"BnaCnng10200D",9.60333889548567,4.59968079089139,209.135719413291,2.12045539379196e-47,4.08180090249974e-44
"BnaCnng64520D",-8.61750233645127,4.10426140955752,208.780388799874,2.53486016804472e-47,4.7112561447394e-44
"BnaA03g30740D",-9.25521240673013,5.15091774720877,207.924868379946,3.89593030182291e-47,6.99955824459843e-44
