"","logFC","logCPM","LR","PValue","FDR"
"BnaCnng02820D",6.46712434760963,3.3889331385894,137.619835552224,8.82534255314081e-32,3.48681261235909e-29
"BnaA10g27180D",-6.32747302627654,3.04982550552838,137.590763919933,8.95549567930723e-32,3.51366385339931e-29
"BnaC06g33130D",7.13818938383068,3.85933423643917,137.427299045727,9.72389108391796e-32,3.78883033420136e-29
"BnaC05g32640D",-7.69819072131088,2.50588601725578,137.274449875828,1.05019298676755e-31,4.06395913468444e-29
"BnaC02g39910D",-8.38157452590839,7.0511519644809,137.170790413255,1.10647143707486e-31,4.25261382665684e-29
"BnaC02g05520D",-7.97260340376707,4.85451720205043,136.832969306706,1.31167133514855e-31,5.00721669548802e-29
"BnaA04g06860D",-6.31579987976442,3.61517245078258,136.78832349907,1.34149668546198e-31,5.08670333793496e-29
"BnaC03g01450D",8.4159940527432,3.06566039335056,136.575850205707,1.493001976457e-31,5.62344171105783e-29
"BnaA03g22720D",-6.67341488596123,3.6932780244078,135.703492755402,2.31665898944304e-31,8.66798672752006e-29
"BnaC02g07710D",-5.06303270747241,4.11433698136874,135.250483249459,2.91036615527157e-31,1.08177544105614e-28
"BnaC08g45540D",-9.93449656720442,2.92759077076323,135.003254261193,3.29628188864095e-31,1.21687823673367e-28
"BnaC09g00020D",-5.58110394025889,5.57678647891743,134.990862765392,3.31691827068189e-31,1.21687823673367e-28
"BnaC01g01780D",-7.85275502834962,6.54137985181356,134.653082459698,3.932050457195e-31,1.43324507568131e-28
"BnaA10g16560D",-11.5856182879852,4.19757467036736,134.607594358028,4.02317584247646e-31,1.45706018428356e-28
"BnaC02g39680D",9.65717574572928,2.48963760756725,134.354384977438,4.5704159421784e-31,1.64470929873373e-28
"BnaC02g05900D",-6.63078640344068,3.56455026505722,134.205028341049,4.92749469812376e-31,1.76198478135821e-28
"BnaC01g38370D",6.19391334993436,3.59909820188661,134.108114509033,5.17398716178874e-31,1.83849010482226e-28
"BnaC02g05110D",-5.08689320800034,3.94879849991575,133.855601793362,5.87572073593729e-31,2.07479043836866e-28
"BnaCnng25180D",-6.41274543456652,3.2248926519422,133.825122114062,5.96662114712982e-31,2.09380224577976e-28
"BnaA07g15090D",-6.17242006383595,3.22405649828279,133.66085573005,6.48128790572589e-31,2.26036916109692e-28
"BnaA09g00890D",5.53034029583628,5.14273840698754,133.588195359526,6.72288504395665e-31,2.33024269456112e-28
"BnaC09g37110D",10.828919749266,1.75656201603834,133.422940236855,7.30643093750615e-31,2.51706545797087e-28
"BnaA09g01640D",6.84761153063353,4.66467881986304,133.346500699467,7.59323009634626e-31,2.60001402414164e-28
"BnaC04g54830D",-5.05863243234273,3.82125389853988,132.459695436822,1.18692092178787e-30,4.03967820717898e-28
"BnaA09g52160D",7.0108344509016,2.93182494762665,132.259303736904,1.31298649821434e-30,4.44198270515651e-28
"BnaCnng40620D",6.50522792207911,4.09161390162049,132.01273350315,1.48662556535111e-30,4.99948638042899e-28
"BnaCnng05930D",4.80790429655883,6.0974975678949,131.901416679076,1.57236816919047e-30,5.25654774100137e-28
"BnaC03g02030D",-8.15355332710885,4.8946972574916,131.887401195628,1.58350851982754e-30,5.26265084430683e-28
"BnaC08g46750D",7.12756376232964,3.29636828158631,131.862381048016,1.60359264844447e-30,5.2982325995214e-28
"BnaC03g09840D",6.14485745980637,5.19921005704161,131.773372633026,1.6771290040893e-30,5.5089787484324e-28
"BnaA09g01000D",8.84528313717239,3.72589810242704,131.754175330813,1.69342624067455e-30,5.53035813558559e-28
"BnaCnng03930D",7.57460058989661,2.50738019348028,131.541541093491,1.88488482184934e-30,6.12024268188757e-28
"BnaC02g42110D",-10.3087117403862,3.39029853008331,131.506881425921,1.91808325067793e-30,6.19244957124581e-28
"BnaC09g53260D",-5.6293963308816,3.72134031419438,131.464289938849,1.9596810134393e-30,6.2907987441644e-28
"BnaC02g06390D",-7.45824539618413,5.31351811396226,131.347565221922,2.07836534330313e-30,6.63409520711526e-28
"BnaC06g28140D",-8.11174863063223,4.52269633543894,131.202245903272,2.23621949714309e-30,7.09786118817922e-28
"BnaC03g04500D",8.12606551757877,2.92997697817212,130.268949582251,3.5785284474847e-30,1.12949553198878e-27
"BnaA10g27200D",-5.02572042210931,4.59801588725066,130.229360066643,3.65061684824508e-30,1.14584750384528e-27
"BnaC03g08660D",10.2288889901288,3.28092562040176,129.700544934754,4.76504988978435e-30,1.48738004791733e-27
"BnaA10g27250D",-9.79485313878924,2.67706703578957,129.633537488445,4.92865569885972e-30,1.52999554766031e-27
"BnaC02g06120D",-5.54902013304964,4.49040457201617,129.441713656342,5.4287428772346e-30,1.6760279512459e-27
"BnaA06g40230D",7.66041225181699,3.58354078269808,129.422051516938,5.48278666553809e-30,1.68351348385636e-27
"BnaC09g03200D",6.3992466770916,2.86074006482325,129.295478130229,5.84380500950302e-30,1.78466646176704e-27
"BnaC09g02920D",6.66598273581943,3.4030738650216,128.52052245875,8.6349756890132e-30,2.622897077838e-27
"BnaC04g54820D",-7.99660458067064,2.7446393072169,128.412506383061,9.1179321068681e-30,2.75478571215954e-27
"BnaC02g04850D",-5.39957069194757,3.5577357307685,128.384818519943,9.24601982380853e-30,2.7786256808805e-27
"BnaA03g55600D",-10.1624406699474,3.28037150281049,127.973106093953,1.13774264487555e-29,3.4010679338719e-27
"BnaCnng28710D",-5.48462140389269,4.84569028660477,127.850743766902,1.21009447089304e-29,3.59831144297447e-27
"BnaC08g45510D",-8.06683465795313,3.25117523999286,127.829696303914,1.22299557969929e-29,3.61763373098692e-27
"BnaA04g06410D",9.12796173109978,1.91047554174335,127.643697027536,1.34315316884769e-29,3.95236811112276e-27
"BnaCnng03110D",5.65293518929859,3.3639249223636,127.613146227892,1.36398865386159e-29,3.99288243346487e-27
"BnaA09g31270D",-4.91346217622149,3.12004327827843,127.466217149988,1.46879905219919e-29,4.27753653871905e-27
"BnaC03g00340D",7.61202880995258,4.52377202095492,127.396923966535,1.52098699426393e-29,4.40680631804737e-27
"BnaC03g03560D",4.85316591420571,3.87132120487073,127.296166208238,1.60019894786516e-29,4.61265511002477e-27
"BnaC08g04100D",-5.1482127790182,3.37613291993037,127.127290327354,1.74232358489018e-29,4.99684253295052e-27
"BnaA10g24340D",-7.41156469091087,2.5938658227305,126.946682685939,1.90832044856605e-29,5.44526710621641e-27
"BnaC06g25090D",7.46387163106834,2.43471638500996,126.119496391795,2.89514613661591e-29,8.21959630284048e-27
