"","logFC","logCPM","LR","PValue","FDR"
"BnaA02g25430D",12.8671950373277,5.54068437520437,287.284207695546,1.94228217975179e-64,1.09735058591617e-59
"BnaC02g05610D",-10.5766252459182,5.15347149930247,264.223163396937,2.06060758483554e-59,5.82101036640193e-55
"BnaC09g00080D",-9.65802243449716,5.08002862441012,254.541907566385,2.65642611076855e-57,5.00275874687339e-53
"BnaC04g06880D",9.75169596883756,5.88599263168009,252.833675610441,6.26161668200399e-57,8.84422048249653e-53
"BnaA08g16140D",-9.97257492673186,4.4506096878307,248.203602540191,6.39846896678036e-56,7.23001399370313e-52
"BnaC06g15630D",8.92820994354155,4.75781961365063,244.566822619349,3.97166451680151e-55,3.73985169783753e-51
"BnaCnng41150D",9.90836825333669,4.41649990137767,239.459939772124,5.15778579101815e-54,4.16292259458491e-50
"BnaA09g52360D",-11.2221083129294,4.11927253797259,238.721178946962,7.4739233018027e-54,5.27827148381561e-50
"BnaC02g05360D",-11.3193910573764,5.84808995861294,232.291159001825,1.88664218296556e-52,1.18435011170209e-48
"BnaA10g27420D",-11.3962787874903,4.18893817027893,229.427277706263,7.9477542269712e-52,4.49032218315419e-48
"BnaA06g00040D",-10.4947947117099,5.00415571990029,225.868933228928,4.74563358584635e-51,2.4374436939377e-47
"BnaC09g03380D",9.34871724824698,4.17954480068442,225.545170321922,5.58350884572429e-51,2.62880902304776e-47
"BnaC04g17070D",-8.24522257733405,4.34191867846392,223.659612365278,1.43932217102321e-50,6.25529415526685e-47
"BnaA09g00980D",8.28355405857573,5.10476692898516,219.620031205779,1.09462356205133e-49,4.41743157205542e-46
"BnaC09g00020D",-9.0389660228323,5.57678647891743,218.795974033566,1.65582929279324e-49,6.23673622561551e-46
"BnaCnng40660D",8.80163631848311,4.19014363967538,217.007723299131,4.06532572932655e-49,1.43551733159682e-45
"BnaCnng29150D",-10.6751101304926,3.36320168043222,216.14540116652,6.26906842584207e-49,2.08346957601897e-45
"BnaC01g22800D",9.12723023828806,3.44889968284956,215.491819475056,8.70518729273789e-49,2.73236484258392e-45
"BnaA06g12970D",9.04270116216246,4.12935854090457,214.942452484687,1.14715183582445e-48,3.41114654844262e-45
"BnaA03g07990D",-9.19488521790331,5.31930629677369,214.176142362259,1.68574360496285e-48,4.76205710965957e-45
"BnaA09g01540D",8.93732477697504,3.46377487254012,213.676527705622,2.16662608796553e-48,5.82904955799412e-45
"BnaCnng19170D",-9.7598796684618,4.35395401700449,213.310823104692,2.6035400971699e-48,6.68612765499569e-45
"BnaC02g05110D",-8.04210011619671,3.94879849991575,210.610585770602,1.01077431498712e-47,2.48290118470184e-44
"BnaA09g35140D",-10.420618703746,3.31883754561663,209.935176288781,1.41908533542058e-47,3.26344843223804e-44
"BnaAnng11350D",10.5718817726976,3.52418321430905,209.900455174362,1.44405484806455e-47,3.26344843223804e-44
"BnaCnng02680D",8.56324629297216,3.82123507396093,209.515244767134,1.75237167786802e-47,3.80790365600721e-44
"BnaA01g05240D",8.10206757681879,3.86158176470183,209.09422930638,2.16511657363083e-47,4.53054652507387e-44
"BnaUnng01760D",8.23899049516749,3.36876554227505,207.72801163158,4.30092461735362e-47,8.67834425111588e-44
"BnaA10g23520D",-10.5851571827257,3.53097916139801,207.423384696151,5.01217705384627e-47,9.76475790304161e-44
"BnaCnng64520D",-8.55852038238655,3.99298308072,206.914406830799,6.47258863028278e-47,1.21896104144572e-43
"BnaCnng03200D",8.32489999046246,4.16768575790292,206.598676967293,7.58518782392545e-47,1.38241271508432e-43
"BnaA03g52350D",9.08732436945855,3.87957951628064,206.128433839288,9.60657261605304e-47,1.69610043644301e-43
"BnaC04g54830D",-8.34404538169674,3.82125389853988,205.507233080061,1.31253132561265e-46,2.24713317680192e-43
"BnaA06g03330D",9.07180893756214,3.49619161250827,205.316452365791,1.44456452610612e-46,2.40044137046893e-43
"BnaC02g07710D",-7.70961370828389,4.11433698136874,204.311574859795,2.39330779567744e-46,3.79972579439887e-43
"BnaCnng03720D",6.80772285613067,4.45774927657623,204.288554104032,2.42114992740202e-46,3.79972579439887e-43
"BnaC02g00100D",-7.83807775647067,4.10992296293084,204.000854943768,2.79767884420157e-46,4.27197998215406e-43
"BnaA09g00950D",10.5958878775078,3.50096701445231,203.729810388589,3.20582915422808e-46,4.72230051510037e-43
"BnaA09g54870D",-10.0637810621692,7.92483040783333,203.696608367347,3.25975645312957e-46,4.72230051510037e-43
"BnaA03g30740D",-9.02877983299586,5.18579335098896,203.603501697052,3.41587001400799e-46,4.82474560128559e-43
"BnaC02g02460D",-7.72781857493053,4.05885155106609,202.94791691778,4.74846627211934e-46,6.54338652298046e-43
"BnaC06g25080D",7.98451600057962,5.23562108771106,202.804754639974,5.1026103931422e-46,6.86398290456543e-43
"BnaA09g20730D",8.11612261992511,5.3579440090197,202.446521011098,6.10888657615105e-46,8.02650869254377e-43
"BnaC02g42580D",-9.8399288695334,4.45642135226802,201.614869227377,9.27765447161474e-46,1.19129300531202e-42
"BnaC03g00170D",6.41894390778488,4.89931284402635,201.350987120557,1.0593052085668e-45,1.32996945941349e-42
"BnaCnng19100D",-10.6561801066174,3.58223097651583,200.799973982944,1.39720898236617e-45,1.71607637142878e-42
"BnaC09g00170D",-6.42798296203991,5.67594673181855,199.681549051287,2.45089831023196e-45,2.94618835598905e-42
"BnaC09g00040D",-8.95918212706799,3.56255745655181,198.810995586102,3.79579763485884e-45,4.46781197446364e-42
"BnaA02g27900D",8.26572369150008,3.50626231202189,198.25578854108,5.01725323663224e-45,5.78499537476017e-42
"BnaC04g17080D",7.99142870456585,3.77091441969327,197.78649275624,6.35158126554494e-45,7.17703276681516e-42
"BnaCnng03040D",7.35061836673858,4.37097391449502,197.632391092356,6.86297144627968e-45,7.60282668180214e-42
"BnaA09g31270D",-7.97513165852624,3.12004327827843,197.522899267845,7.25115498768863e-45,7.8783798941237e-42
"BnaC03g30260D",8.34840101251099,4.79964400394008,196.898062822556,9.92589999699354e-45,1.05810093967951e-41
"BnaA09g01380D",8.03716589021943,3.41936156175522,196.508800926732,1.20704232464893e-44,1.26287920848176e-41
"BnaC09g00050D",-11.1000063935219,4.00986048435376,195.64979866754,1.85863582889654e-44,1.90925831019994e-41
"BnaCnng19090D",-8.30779804793,7.78094432237013,195.22903812538,2.29627620199948e-44,2.31669665822441e-41
"BnaAnng29400D",10.3155374876424,3.19699429261718,194.92991170004,2.66875212286407e-44,2.6452483760978e-41
"BnaCnng10200D",6.98854307386333,4.60850976948381,194.577785833309,3.18537143068869e-44,3.10288129467326e-41
"BnaC08g44700D",-6.08310359547518,4.55278590721645,193.639476817889,5.10446729722884e-44,4.88800327726839e-41
"BnaCnng33970D",-7.33150571049609,5.51101719795129,193.55218240712,5.33338694903509e-44,5.02209493077641e-41
"BnaC02g05020D",-10.0061845472242,4.59091609233366,193.454244690775,5.60246040329154e-44,5.18898045680599e-41
"BnaCnng10240D",8.21760844386024,3.64959078875141,193.342001544973,5.92757204038172e-44,5.40154782479817e-41
"BnaA09g01200D",6.86972658669565,4.5129726181343,191.170233189455,1.76562487381188e-43,1.58340117651783e-40
"BnaC03g71310D",10.1863849321246,3.09322957887792,190.820491034233,2.10492949737902e-43,1.85819229285812e-40
"BnaCnng01150D",-7.4089439147796,3.4440023823797,190.561769366148,2.39723083242508e-43,2.08367303954388e-40
"BnaC02g05000D",-7.49830975352682,3.95873394500439,190.46179858898,2.52075719203279e-43,2.15784454296164e-40
"BnaCnng03080D",10.1115543851817,2.84541250203324,190.431293183137,2.55970316780479e-43,2.15847924738261e-40
"BnaCnng05930D",6.23706479982382,6.0974975678949,190.188031016442,2.89259771108292e-43,2.40332331589357e-40
"BnaA09g00910D",9.33757384818636,3.75689169148199,189.690024360416,3.71528651666071e-43,3.04211967562749e-40
"BnaA07g02950D",8.84090483319057,3.59264762552918,189.49980805169,4.08801873280897e-43,3.29949831951773e-40
"BnaCnng19160D",-7.98579007029797,3.90687607018299,188.603211825945,6.41542602309621e-43,5.10505266835056e-40
"BnaC03g03400D",6.15835682297485,4.33304416533478,188.390607055304,7.13895144045984e-43,5.6018955344875e-40
"BnaC04g17130D",-6.84713817586607,5.30716364089234,188.105150610196,8.2403636469459e-43,6.37758993596095e-40
"BnaC02g04850D",-7.34193299052936,3.5577357307685,187.793314820964,9.63867202675637e-43,7.3589958401038e-40
"BnaC01g38650D",7.15268548065751,3.34075039795473,187.621933655953,1.05057812058663e-42,7.91407502092047e-40
"BnaC08g43810D",-8.4141537279419,3.10482836426234,187.5122364068,1.11013164966439e-42,8.25266025562353e-40
"BnaA09g00800D",9.1214795943905,3.73569232697621,187.419062515416,1.16335896858041e-42,8.5360331177735e-40
"BnaC02g05940D",-7.61499223688195,5.12326941789654,187.072746340269,1.38456319952043e-42,1.0028852775193e-39
"BnaA10g27390D",-8.50370285777493,3.35782344926073,185.873526178312,2.52989230536043e-42,1.80928930972473e-39
"BnaC04g50590D",-10.2873848728028,6.5452780940248,185.51950777727,3.022635560007e-42,2.13466079836594e-39
"BnaC08g44590D",-7.67919753238785,3.47048432245588,184.91439077977,4.09720079479207e-42,2.8578228457304e-39
"BnaUnng02770D",-8.5225564971789,3.30179757859087,184.574622924654,4.86028851333078e-42,3.34873878568491e-39
"BnaC02g02560D",-11.2621580084977,3.6126885663983,184.521824162834,4.99101212956421e-42,3.39737594332673e-39
"BnaA09g00790D",8.06525309115742,4.76496764589194,184.332281663389,5.48994595789719e-42,3.69251150868185e-39
"BnaC08g04100D",-7.51338716248125,3.37613291993037,184.14917512648,6.01925410456403e-42,4.00089198117245e-39
"BnaC07g15150D",-7.59467303808657,4.49906429813563,183.752085794281,7.34908579348796e-42,4.82800754837771e-39
"BnaC08g45610D",-7.76861253128203,3.84037674638102,182.85024902097,1.15643624274679e-41,7.50992354513887e-39
"BnaA09g01640D",9.49870926859115,4.66467881986304,182.775879867326,1.2004888921645e-41,7.70741152608067e-39
"BnaC02g05870D",-8.40783848849212,3.05680260536327,182.308091687012,1.51875454787092e-41,9.64119038714733e-39
"BnaC02g17030D",8.54653849212901,3.09766948019316,181.566190883148,2.20528797095624e-41,1.37127184860494e-38
"BnaC03g03000D",5.44973293597362,5.28391708834199,181.541549263771,2.2327768710129e-41,1.37127184860494e-38
"BnaC03g07200D",8.56147848454787,5.20961438421939,181.541398168867,2.23294647724971e-41,1.37127184860494e-38
"BnaC08g44900D",-10.464260367696,3.23880435565028,181.266477343549,2.56390642337113e-41,1.5575869366411e-38
"BnaA02g08060D",7.23448769939988,3.72712616737659,181.191735664823,2.66207760865752e-41,1.60002192270141e-38
"BnaC03g00020D",8.90445320296524,6.37674945560381,180.837237591725,3.18141026158331e-41,1.8920349153572e-38
"BnaC02g03070D",-7.75540493621329,3.98825490844133,180.761229327436,3.3053310887271e-41,1.94525620678025e-38
"BnaC02g06060D",-7.56395463909528,4.34209451417732,180.559151343826,3.65877681481642e-41,2.13106775756184e-38
"BnaA09g52160D",10.046561338262,2.93182494762665,180.395507748739,3.97251405915493e-41,2.29019489096057e-38
"BnaA09g01290D",8.30434028021044,2.955432337201,178.858684362017,8.60240948998296e-41,4.90928213500058e-38
"BnaA06g09750D",7.48950271305978,3.33162883485919,178.389846517081,1.08890676626254e-40,6.13721686683458e-38
"BnaC09g24280D",8.626785266658,3.99629653984032,178.3748748939,1.0971342411241e-40,6.13721686683458e-38
"BnaCnng02820D",10.462387932019,3.3889331385894,177.853089599319,1.426241896449e-40,7.8999818299584e-38
"BnaC03g71330D",7.37919085038888,3.26929074197585,177.81274714542,1.45546633461153e-40,7.98358611387206e-38
"BnaCnng25180D",-8.56519804291997,3.2248926519422,177.78140238182,1.47858554620701e-40,8.03241597976959e-38
"BnaA08g09570D",6.42889484493714,3.26509186261159,177.712117523735,1.53099999246074e-40,8.2379464356235e-38
"BnaC02g05900D",-8.19254308489213,3.56455026505722,177.473865894641,1.72583390431797e-40,9.19869471001481e-38
"BnaC02g02700D",-8.45152411332075,3.01239107314394,176.570540212116,2.71800078918608e-40,1.43515522044332e-37
"BnaC08g07080D",10.0551104283537,2.73082817470919,176.230998163795,3.22398906334127e-40,1.6865642046357e-37
"BnaC08g44740D",-8.38357429485381,3.75660794638458,175.924530170451,3.76110981331159e-40,1.94949708470163e-37
"BnaC09g02950D",6.80186939917447,5.3303322736029,175.401785074364,4.89178891258264e-40,2.51251172711904e-37
"BnaA09g00880D",7.79956365962606,4.21357492568925,175.236362897934,5.31607737406757e-40,2.70583549081144e-37
"BnaA10g24340D",-9.76181708800014,2.5938658227305,175.072237800434,5.77340228235258e-40,2.91237216203889e-37
"BnaC06g18110D",8.58100691497525,3.15310010366269,174.967602681385,6.08529203472182e-40,3.04253831307711e-37
"BnaC01g38460D",8.60580640795452,3.52180655737391,174.254637753805,8.70916589449225e-40,4.31623205883354e-37
"BnaA05g11340D",-7.16656961448237,3.48549818624786,173.731955923992,1.13271462323149e-39,5.56487919855065e-37
"BnaC08g00310D",6.6330140423153,3.44841941501012,173.156939855028,1.51250037843309e-39,7.3666591707511e-37
"BnaC09g50670D",6.15267258283014,3.69752517778555,173.115687032036,1.54420369314019e-39,7.45678805598586e-37
"BnaC08g44890D",-6.05306495910656,4.67924321669784,172.101252763869,2.57186405632439e-39,1.23139979198487e-36
"BnaA05g16860D",-8.53930936731489,3.85763892526926,171.870029448936,2.88899076561516e-39,1.37161512836744e-36
"BnaC09g02920D",8.89314536229102,3.4030738650216,171.773559187956,3.03259869417347e-39,1.42779800852844e-36
"BnaC04g13900D",8.38039504184009,2.99271199055896,171.456318912387,3.5571293371006e-39,1.66091482055793e-36
"BnaC09g00010D",-10.9335465545972,3.7593998174191,171.369598849474,3.71568843314075e-39,1.72072922209497e-36
"BnaC03g01640D",7.16343829621753,3.51301157926638,170.733493883355,5.11641870234801e-39,2.35014165727852e-36
"BnaC08g44440D",-6.70471683422772,3.2876023820831,170.083927304919,7.09309788252311e-39,3.23182132392573e-36
"BnaCnng45410D",9.68768228554323,2.47040163079978,169.88692290259,7.83183808867779e-39,3.53986550667294e-36
"BnaC03g05220D",8.17114914778667,2.65067895937306,169.1803162593,1.11736758228996e-38,5.01024076700143e-36
"BnaC09g39490D",-5.74045976530935,5.76409955122257,169.164184227723,1.12646982415926e-38,5.01128284451572e-36
"BnaC03g00040D",8.10289254749625,4.42108203965135,168.99223484588,1.22822007832742e-38,5.42124828010487e-36
"BnaA10g27160D",-9.75268371512748,2.68137213547353,168.796443427688,1.35531608152887e-38,5.93586418404793e-36
