"","logFC","logCPM","LR","PValue","FDR"
"BnaCnng19090D",-8.49910841463115,7.78094432237013,201.133846701931,1.18142070958768e-45,2.0858721015714e-42
"BnaC09g00080D",-6.7236961549445,5.08002862441012,200.93468242431,1.30576670755378e-45,2.23555174070829e-42
"BnaA03g52350D",8.36271471219499,3.87957951628064,198.972516674764,3.4998914589146e-45,5.81579022487521e-42
"BnaC08g43810D",-10.4235578895154,3.10482836426234,198.63968147006,4.13703119094578e-45,6.67811394931584e-42
"BnaC08g45610D",-8.79805697514982,3.84037674638102,198.40826180671,4.64720228858284e-45,7.29326763612092e-42
"BnaC02g05110D",-7.16565509372077,3.94879849991575,197.738764088646,6.50575789566341e-45,9.93411647538355e-42
"BnaCnng29150D",-8.83004235196032,3.36320168043222,196.649805003965,1.12447457709332e-44,1.67185696464786e-41
"BnaAnng11350D",8.8828231144375,3.52418321430905,196.549668671763,1.18250632879535e-44,1.7130575016482e-41
"BnaCnng19100D",-10.8160703366686,3.58223097651583,196.440356685081,1.24928024273713e-44,1.76454587885406e-41
"BnaCnng33970D",-7.44573394540826,5.51101719795129,196.246672156202,1.3769875414258e-44,1.89748883208475e-41
"BnaA01g05240D",7.88212577898294,3.86158176470183,195.815843199297,1.70984135880755e-44,2.3000623116645e-41
"BnaCnng03200D",7.84981988268313,4.16768575790292,195.397032619652,2.11037519994373e-44,2.77283669875398e-41
"BnaCnng10200D",7.2267741726665,4.60850976948381,195.20988117145,2.31848932401092e-44,2.97704567790839e-41
"BnaC02g02460D",-7.21431086889181,4.05885155106609,194.893759804862,2.71768048072992e-44,3.4120780400062e-41
"BnaA09g35140D",-10.3932163405506,3.31883754561663,194.243981389154,3.76715853399511e-44,4.62688962725338e-41
"BnaC08g44800D",-7.64862668129527,3.73251762731021,194.125906339803,3.99746140597425e-44,4.80528881946241e-41
"BnaA09g00800D",11.0208722188981,3.73569232697621,192.392689630889,9.5515822361404e-44,1.12426102745304e-40
"BnaUnng01760D",8.00507273818629,3.36876554227505,192.017032901677,1.15363451685381e-43,1.33016414149401e-40
"BnaC09g50670D",7.40950520944039,3.69752517778555,191.709010600603,1.34678883109977e-43,1.5218175075895e-40
"BnaCnng01150D",-7.86657956136244,3.4440023823797,191.500052766936,1.49592054677745e-43,1.65718664807514e-40
"BnaC09g02950D",7.72257591093679,5.3303322736029,190.767686441911,2.16154066210711e-43,2.34851392937937e-40
"BnaC03g30260D",8.0542459845022,4.79964400394008,190.466282589388,2.51508268171415e-43,2.68107813870729e-40
"BnaA09g01380D",7.96580849913019,3.41936156175522,189.991709928505,3.19257116201945e-43,3.34025713910694e-40
"BnaC02g05020D",-9.32341731999081,4.59091609233366,189.103125371431,4.99001413008813e-43,5.1259239694858e-40
"BnaCnng02680D",8.20923360123444,3.82123507396093,188.908083439588,5.50397388164376e-43,5.55291993509124e-40
"BnaCnng19160D",-8.01818593485478,3.90687607018299,188.776823781501,5.87933779054516e-43,5.82755835947755e-40
"BnaC09g00040D",-10.5609029786791,3.56255745655181,188.548757119336,6.59344287501459e-43,6.42269544056163e-40
"BnaC02g05000D",-8.36327997398194,3.95873394500439,188.392031368972,7.13384250887344e-43,6.83131922146325e-40
"BnaCnng25300D",8.87539499873236,4.38780774882853,187.46957554829,1.13419327378692e-42,1.06799419304022e-39
"BnaC02g03470D",-7.88933359903811,3.83413433224993,186.430865309409,1.91176297051542e-42,1.77066859521607e-39
